incident_id,topic,topic_prob
4278,-1,0.1447126999445713
488,0,1.0
499,0,0.3387328851332795
525,0,0.48413850218002524
1183,-1,0.08684786255794281
866,0,0.2429046708964746
529,0,0.3861456249806519
4103,2,0.1269127402334219
3,0,0.14892057132576206
52,0,0.40995608525110055
769,-1,0.3071257976365829
785,-1,0.28925657885551614
836,-1,0.0730211525435249
863,-1,0.021557842898825053
902,0,1.0
707,-1,0.04872846319302328
2626,-1,0.0696602920187311
1937,-1,0.08477319309952086
2014,0,0.336343666801579
3795,-1,0.1118396791891667
3184,2,1.0
806,-1,0.046025343847270236
270,-1,0.14321872095378335
508,0,0.30412505899182823
2,0,0.138265488344743
53,-1,0.07710849102403575
504,0,0.49989359655624327
568,0,0.41846384122645036
627,0,0.28492169881255064
635,7,1.0
1924,-1,0.1067205449895817
3634,0,0.34841238010599784
2308,-1,0.17247993766635206
343,0,0.4240426660458901
995,-1,0.33080160001930964
496,0,0.43675684859669067
386,0,0.39145938036908867
365,0,0.34844540935644114
410,0,0.36177191712856444
2290,-1,0.12932168381532502
2310,-1,0.15604855412787738
409,0,0.37305975661240603
382,0,0.3593696134142506
1359,-1,0.2199816501490979
1648,-1,0.11136298704238919
3424,-1,0.09474113322311516
3385,-1,0.06040256816442805
4341,-1,0.06377777708538306
2492,-1,0.0939898484574056
1680,-1,0.057352967895801056
1550,0,0.2708023571714537
587,-1,0.30241158839372223
19,8,1.0
513,0,0.6743476049741488
894,-1,0.026385888785422536
900,0,0.7686984780994823
136,-1,0.10425400656909727
2286,-1,0.10161135683619134
515,3,0.43343741680616793
517,0,0.31793501798291585
1933,-1,0.05271092220967141
1500,-1,0.21487782148978968
848,0,1.0
83,0,1.0
714,0,0.5167293601080386
847,0,0.3527282506269913
664,-1,0.1593599772373123
1668,1,1.0
1316,1,0.47010875334266805
1683,1,0.2850498293081481
2484,1,0.12550192397841822
1345,-1,0.04717575815107846
1836,1,0.08214538499191289
2167,1,0.22626160282577645
2589,-1,0.057098068557837764
2353,1,0.07607394566278512
203,0,1.0
979,1,0.6800849451406425
1110,8,1.0
2629,1,0.1650840822077268
1673,-1,0.1207918861583851
2658,1,0.09799955809651234
179,1,1.0
464,0,0.27614826045694413
680,0,1.0
954,1,0.42366678371587313
1035,-1,0.2610612004894339
1235,-1,0.11630897717266303
1258,-1,0.09590739679515452
1210,0,0.4982346191987763
3251,-1,0.08369923843907809
299,-1,0.19556905942249295
85,0,0.18056188742261384
887,-1,0.14897770109915562
1439,-1,0.032677950173766804
34,1,0.2943487541737405
80,1,1.0
808,1,0.5398874981236815
3423,-1,0.049988689700153126
26,1,0.4767414361628364
960,-1,0.039794424218989884
1538,1,0.11275381351245094
3276,-1,0.041792083178526236
988,1,0.14113589767610557
1013,1,0.34965626597898986
1405,1,0.2998342081255194
4204,-1,0.0852949210696335
2770,-1,0.0986712219469303
25,1,0.10956867828245484
181,-1,0.025483220807913872
337,-1,0.09749545268803679
362,-1,0.0779000051593113
1751,-1,0.17631275431285273
1733,-1,0.08273438854405969
4153,-1,0.022822401718989874
77,0,1.0
99,1,0.22798075453804248
132,-1,0.1074185324714919
146,0,0.11479968415057157
1506,-1,0.08125215501874301
417,0,0.20660035941063343
1505,-1,0.12806343152835883
563,-1,0.11797938495881082
1507,-1,0.12419337733380882
814,1,0.5317767839670993
1269,3,0.2626130520544647
937,-1,0.07700846599359977
1077,0,0.29295853982037684
1026,-1,0.16159485580255492
1086,-1,0.14867273784843946
2180,-1,0.07807441484560076
1671,1,0.5545635668070329
1672,1,0.522532183476492
3666,-1,0.15508638434477007
1170,-1,0.07492096584240512
3579,1,0.12737906146715736
1877,-1,0.1026042899333598
126,-1,0.09609879056675583
44,1,0.2674909380106711
161,-1,0.046284371218741995
953,-1,0.10103185163830376
1087,1,0.7292942567822481
1300,1,0.2896486743443446
1340,1,0.15375617177386486
2376,-1,0.11059959012760325
4319,2,0.11029948111599938
2199,1,0.36908523926334375
1414,1,0.5064268673640625
61,1,1.0
133,-1,0.025807844663597673
156,-1,0.050096897861730605
58,-1,0.10711265198720175
3388,-1,0.07037097514796768
663,1,0.16024387838083615
1185,1,0.16462318473507212
2559,-1,0.043718071380026084
1827,1,0.5092459734979571
3708,1,0.40452734354744707
308,1,0.6512432392707748
1400,1,0.18358655256813927
3124,1,0.07977398231980724
2276,-1,0.038094729360705945
2671,-1,0.044173922304179145
755,8,0.20038178697855819
898,1,0.6860760414867842
1036,8,0.5831201216002706
1217,-1,0.09824137979115385
1213,1,0.24582654042796395
1215,-1,0.10777048023117292
1607,1,0.17944507760978423
1495,1,0.15380346835909486
2674,1,0.18468293640566086
3283,1,0.07852987291084035
18,-1,0.04396247920820673
321,0,0.2142471883304538
447,0,0.27262022264786423
1096,-1,0.040117600050869014
1214,1,1.0
1691,-1,0.12039193876965008
1373,1,0.1900002423047101
1365,-1,0.09774395542255654
1403,1,1.0
1242,-1,0.10210974631186
1850,-1,0.1637692428462595
275,1,0.24771983041463302
4290,-1,0.0633597831934792
17,-1,0.024174652984729872
241,0,0.43489189705249187
246,0,0.17774262608199184
381,-1,0.041109688099763245
533,8,1.0
578,1,0.16850128931485403
771,-1,0.08133156966710937
956,-1,0.05208367881464555
1245,-1,0.17784403505486354
3898,1,1.0
2483,-1,0.04292935100730047
3111,-1,0.041957940968759246
1643,1,0.4745842230566182
1800,1,0.33245392931565865
2547,-1,0.05474436255977339
2127,-1,0.07638016053837555
4314,1,0.17643565915794218
4105,1,0.13491388064054483
2656,-1,0.09374890686679503
3433,-1,0.1850727535584244
2277,-1,0.03624062078483925
15,-1,0.0964645336278353
104,-1,0.09447874866949395
147,0,0.17765143490419005
2653,1,0.2761271556779284
3823,1,0.09896921014765125
4307,-1,0.0591463621032981
1404,1,1.0
1186,1,0.7374574770670121
3318,1,0.10291389341035277
1364,1,0.14589111077766168
1589,-1,0.07941502428508661
2088,1,0.21718603069113102
2636,1,0.20804156141087288
1255,-1,0.16994513785033608
759,1,1.0
1304,8,1.0
1342,-1,0.1040849986139726
2842,4,0.41547985937637144
3014,-1,0.06341490943232499
3294,-1,0.061860592324284876
1193,1,0.516605905018025
1333,-1,0.15110975505504484
4326,-1,0.1085541303312978
2900,-1,0.014628681865240049
1513,-1,0.12564466034421942
3670,-1,0.09541099305356732
2427,-1,0.053917568951010963
4148,1,0.16542649108490542
3737,1,0.07361449277931216
4084,-1,0.06283755794004695
676,0,0.1620111372850725
893,3,1.0
2808,-1,0.13872693154234045
1309,1,0.3503817286922119
1782,-1,0.05844992827258707
2445,1,0.09548186200693744
3698,8,1.0
4017,-1,0.03789109615945921
1908,1,0.10472570789192594
581,1,0.6892775865350159
3493,-1,0.11226479333405662
330,-1,0.18006332472176775
419,1,0.2871521563666611
1273,-1,0.10613413258173382
970,-1,0.2912954797928643
1184,-1,0.2672530610394371
2642,-1,0.07875270858622228
2643,-1,0.08665278275151686
2038,-1,0.07225139226022856
3526,1,0.17170140422718316
2063,1,0.09239672773089815
4136,-1,0.03517388102574246
2670,1,0.15082243543218465
4,0,0.3993189914829078
14,-1,0.15096276379734336
762,0,0.2096155269126674
859,0,0.18214435589247516
1100,1,0.4686615465366902
1141,0,0.4237552502707198
1323,1,0.7042553586405187
1399,1,1.0
2322,1,0.08900749826415079
3671,-1,0.10386756330763608
3768,1,0.18730495266581948
3905,1,0.19786499927492288
950,-1,0.08176328422790252
11,-1,0.047334452771560266
871,1,1.0
1011,-1,0.10496799017624021
2481,-1,0.07550680830412757
3449,-1,0.046128132133144775
5,0,1.0
24,-1,0.2870690070977944
23,0,1.0
29,-1,0.04965217166966447
32,3,0.4667256695543851
31,0,0.2577370022871292
33,-1,0.17462373654476726
36,-1,0.09021318944243994
57,-1,0.1576895658786463
66,-1,0.1472987422443826
78,1,0.3035462478044778
79,0,0.6058590724760233
113,0,0.21196021511710508
144,0,0.36789797209362723
167,-1,0.07807556630744872
178,1,0.1894198221968613
259,-1,0.05913656515750065
329,1,0.15735822071017228
390,-1,0.10873878731506381
398,-1,0.14964542491990826
435,0,1.0
434,4,1.0
433,-1,0.1251360890193899
431,-1,0.06535469432664862
422,1,0.12434395544661675
420,-1,0.13594472226118376
449,0,0.3036411842886704
571,0,1.0
595,-1,0.09429343403720146
592,-1,0.09769750741565791
588,-1,0.07736418321558466
621,-1,0.10898453983326833
665,-1,0.09295280177461317
788,-1,0.08392297526635867
669,-1,0.0550283652456883
2429,-1,0.06791228460620052
777,-1,0.12797707419523557
1020,4,0.31723731208127404
1055,-1,0.07406503130784588
1082,0,0.18818264075763513
1221,1,0.6667392811038165
1736,1,0.45937852511352445
1341,1,1.0
1401,1,1.0
3853,-1,0.01702145247207016
4173,-1,0.0714179317274332
1322,1,0.372874543305981
1329,1,1.0
1376,8,1.0
895,-1,0.017584850502356312
2482,-1,0.11257973338879847
698,0,1.0
35,8,1.0
1143,-1,0.0885881547808821
118,-1,0.04016678893080911
239,0,0.3739687215628069
248,-1,0.1363919184516699
1252,1,0.7384253893605922
1829,0,0.25212327985151195
794,-1,0.31519317180901885
878,0,0.5003649941556159
2211,2,0.251012198578539
2109,2,1.0
253,0,0.258718529903011
654,0,0.23157377143903135
1318,7,1.0
800,-1,0.031102023173442597
1372,-1,0.13608334622131452
107,-1,0.0864019839722041
3635,-1,0.11265641914136605
288,0,0.29856664434076585
88,-1,0.16620155343535892
30,-1,0.2875058291694025
746,-1,0.16765445717073169
230,-1,0.18459992367006262
1432,-1,0.05215910123524111
453,0,0.16763310725204597
1175,-1,0.15490626686086054
414,7,1.0
1097,-1,0.07173870276895866
339,0,1.0
341,0,0.4417863406874715
3615,0,0.32959400232953845
2683,-1,0.14365015947825244
789,1,0.18417897239932365
1078,-1,0.19173215635759372
839,-1,0.34953953732413545
779,-1,0.039326601171922174
919,0,1.0
1276,1,0.24363517905495152
139,1,0.6496846924376819
3008,3,0.24060257991396872
450,0,0.33880615029723465
614,0,0.34185433738159715
760,0,0.46217664110487483
650,0,0.35411383929777746
