dyad_id,initiator_country,receiver_country,incident_id,name,description,start_date,end_date,source_disclosure,operation_type,impact_indicator_score,impact_indicator_label,unweighted_intensity,weighted_intensity,number_attributions,number_political_responses,number_legal_responses,casualties,initiator_name,initiator_category,initiator_subcategory,receiver_id,receiver_name,receiver_category,receiver_subcategory,receiver_regions,offline_conflict_issue,offline_conflict_name,offline_conflict_intensity,offline_conflict_intensity_subcode,cyber_conflict_issue,physical_effects_spatial,physical_effects_temporal,target_multiplier,functional_impact,intelligence_impact,economic_impact,economic_impact_value,economic_impact_currency,affected_entities,affected_entities_value,affected_eu_countries,affected_eu_countries_value,affected_third_countries,affected_third_countries_value,n_words,description_no_geo,topic,topic_prob,topic_label,topic_name,topic_group
9,Armenia,Azerbaijan,52,Azerbaijani-Armenian Cybewar 2007 Armenian Attack,Hackers identifying themselves to be connected to the Armenian state service hacked and defaced the website of the Azerbaijani state television,2007-01-22 00:00:00,2007-01-22 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Armenian State Service,State,Not available,137_0,['Not available'],['State institutions / political system'],['Election infrastructure / related systems'],"['ASIA', 'CENTAS']",Secession,Not available,Yes / HIIK intensity,HIIK 3,Secession,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,21.0,Hackers identifying themselves to be connected to the state service hacked and defaced the website of the state television,0.0,0.4099560852511005,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
9,Armenia,Azerbaijan,902,Azerbaijani Bank Data Leak,"Armenian hackers from the Monte Melkonian Cyber Army (MMCA) have leaked a number of data allegedly belonging to Azerbaijani banks, military and police servers.",2016-09-01 00:00:00,Not available,Incident disclosed by attacker,Hack and leak,0,Not available,3,3,1,0,0,Not available,Monte Melkonian Cyber Army,Non-state-group,Hacktivist(s),1424_3,['Not available'],"['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Police', 'Finance', 'Military']","['ASIA', 'CENTAS']",Territory,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,euro,Not available,0,Not available,Not available,Not available,0,24.0,"hackers from the Monte Melkonian Cyber Army ( ) have leaked a number of data allegedly belonging to Azerbaijani banks, military and police servers.",0.0,1.0,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
19,Australia,Australia,2014,"Sydney woman charged in March 2023 for disrupting communications of Federal Member of Parliament's office by flooding it with 32,000 emails","The Australian Federal Police have announced that a Sydney woman was arrested on 1 March and charged with sending 32,397 emails to the office of a Federal Member of Parliament over a period of 24 hours. The large number of emails disrupted the operation of the IT systems and also prevented the public from contacting the office. On 2 March, she appeared before Penrith Local Court and was charged with unauthorised impairment of electronic communication. The police allege that the sending of the emails was made possible by the use of multiple domains.",2023-02-28 00:00:00,2023-03-01 00:00:00,Incident disclosed by authorities of victim state,DDoS/Defacement,6,Low,1,1,1,0,1,Not available,Unknown,Individual hacker(s),Not available,3505_0,['Not available'],['State institutions / political system'],['Legislative'],['OC'],Not available,Not available,Not available,Not available,Unknown,Not available,Not available,Moderate - high political importance,Day (< 24h),No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,Not available,0,euro,1-10,1,Not available,Not available,1-10,1,93.0,"The Australian Federal Police have announced that a woman was arrested on 1 March and charged with sending 32,397 emails to the office of a Federal Member of Parliament over a period of 24 hours. The large number of emails disrupted the operation of the IT systems and also prevented the public from contacting the office. On 2 March, she appeared before Penrith Local Court and was charged with unauthorised impairment of electronic communication. The police allege that the sending of the emails was made possible by the use of multiple domains.",0.0,0.336343666801579,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
21,Australia,Russia,3184,"UK, US and other law enforcement agencies infiltrated LockBit ransomware group as early as 2021 eventually seizing public websites and servers in 2024","UK, US and other law enforcement agencies seized the public websites and servers of the LockBit ransomware group beginning in 2021, the US Department of Justice and the Federal Bureau of Investigation (FBI) as well as the UK National Crime Agency (NCA) and the National Cyber Security Center (NCSC) announced on 20 February 2024.
In addition to the aforementioned authorities, the NCA South West Regional Organised Crime Unit; France’s Gendarmerie Nationale Cyberspace Command; Germany’s Landeskriminalamt Schleswig-Holstein and the Bundeskriminalamt; Switzerland’s Federal Office of Police, Public Prosecutor’s Office of the Canton of Zurich, and Zurich Cantonal Police; Japan’s National Policy Agency; Australian Federal Police; Sweden’s Polismyndighetens; Royal Canadian Mounted Police; Politie Dienst Regionale Recherche Oost-Brabant of the Netherlands; Finland’s Poliisi; Europol; and Eurojust also took part in the intervention called Operation Cronos.
Operation Cronos included the takeover of LockBit's public websites, where they published their ransomware attacks and subsequent ransom demands; and the takeover of the LockBit ransomware group's administrative environment, from which they controlled the ransomware attacks; the arrest of two LockBit actors in Poland and Ukraine, as well as the disruption of multiple US servers used by LockBit's administrators to host the StealBit platform to organise and collect stolen data. In total, security authorities seized 34 servers hosting the data leak website and its mirrors, data stolen from the victims, cryptocurrency addresses, 1000 decryption keys, and the affiliate panel.
On the same day, the Office of Foreign Assets Control (OFAC) sanctioned Ivan Gennadievich Kondratiev, a Russian citizen and leader of LockBit's affiliate National Hazard Society, as well as another Russian citizen, Artur Sungatov. In addition, the US District Court in New Jersey indicted Ivan Gennadievich Kondratiev (also known as ""Bassterlord"" or ""Fisheye"") and Artur Sungatov for conspiracy to commit fraud and related activity in connection with computers, conspiracy to commit wire fraud as well as computer fraud and abuse.
The US department of state offers a reward of up to $15 million for information that could lead to the identification or location of Lockbit members and affiliates, as published in a press statement on 21 February 2024. 
In a statement on 24 February 2024, LockBit shares detailed information about the breach of their servers. According to this timeline, the first penetration testing occuredat 6:36 UTC resulting in a 502 Bad Gateway error. 20:47 the site gave an 404 Not Found nginx error, the server was not able to accessed and information was erased. LockBit suspects that the authorities gained access through CVE-2023-3824 to two main servers, which had installed the PHP 8.1.2 version known for that vulnerability. LockBit implicates the reason behind the attack by the authorities lies in the menaced leak information from https://fultoncountyga.gov/. As confirmed on 24 February 2024, LockBit has undertaken efforts to relaunch their operation on a new infrastructure, which is now running the latest version of PHP 8.3.3. LockBit offers a reward for anyone informing them about new CVEs while threatening to increase their attacks on government sectors. According to Bleeping Computer, the statement appears to be an attempt at damage control and restoring their credibility. ",2021-01-01 00:00:00,Not available,Incident disclosed by attacker,Data theft,9,Low,6,6,1,0,0,Not available,Federal Police,State,Not available,5890_0,['Lockbit'],['Social groups'],['Criminal'],"['EUROPE', 'EASTEU', 'CSTO', 'SCO']",Not available,Not available,Not available,Not available,Cyber-specific,Not available,Not available,Moderate - high political importance,Days (< 7 days),"Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data",Not available,0,euro,1-10,1,Not available,Not available,1-10,1,512.0,", and other law enforcement agencies seized the public websites and servers of the LockBit ransomware group beginning in 2021, the US Department of Justice and the Federal Bureau of Investigation (FBI) as well as the UK National Crime Agency (NCA) and the National Cyber Security Center (NCSC) announced on 20 February 2024. In addition to the aforementioned authorities, the NCA South West Regional Organised Crime Unit; ’s Gendarmerie Nationale Cyberspace Command; ’s Landeskriminalamt Schleswig-Holstein and the ; ’s Federal Office of Police, Public Prosecutor’s Office of the Canton of , and Zurich Cantonal Police; ’s National Policy Agency; Australian Federal Police; ’s Polismyndighetens; Royal Canadian Mounted Police; Politie Dienst Regionale Recherche Oost-Brabant of the ; ’s Poliisi; Europol; and Eurojust also took part in the intervention called Operation Cronos. Operation Cronos included the takeover of LockBit's public websites, where they published their ransomware attacks and subsequent ransom demands; and the takeover of the LockBit ransomware group's administrative environment, from which they controlled the ransomware attacks; the arrest of two LockBit actors in and , as well as the disruption of multiple servers used by LockBit's administrators to host the StealBit platform to organise and collect stolen data. In total, security authorities seized 34 servers hosting the data leak website and its mirrors, data stolen from the victims, cryptocurrency addresses, 1000 decryption keys, and the affiliate panel. On the same day, the Office of Foreign Assets Control (OFAC) sanctioned Ivan Gennadievich Kondratiev, a citizen and leader of LockBit's affiliate National Hazard Society, as well as another citizen, Artur Sungatov. In addition, the US District Court in indicted Ivan Gennadievich Kondratiev (also known as ""Bassterlord"" or ""Fisheye"") and Artur Sungatov for conspiracy to commit fraud and related activity in connection with computers, conspiracy to commit wire fraud as well as computer fraud and abuse. The department of state offers a reward of up to $15 million for information that could lead to the identification or location of members and affiliates, as published in a press statement on 21 February 2024. In a statement on 24 February 2024, LockBit shares detailed information about the breach of their servers. According to this timeline, the first penetration testing occuredat 6:36 UTC resulting in a 502 Bad Gateway error. 20:47 the site gave an 404 Not Found nginx error, the server was not able to accessed and information was erased. LockBit suspects that the authorities gained access through CVE-2023-3824 to two main servers, which had installed the PHP 8.1.2 version known for that vulnerability. LockBit implicates the reason behind the attack by the authorities lies in the menaced leak information from https://fultoncountyga.gov/. As confirmed on 24 February 2024, LockBit has undertaken efforts to relaunch their operation on a new infrastructure, which is now running the latest version of PHP 8.3.3. LockBit offers a reward for anyone informing them about new CVEs while threatening to increase their attacks on government sectors. According to Bleeping Computer, the statement appears to be an attempt at damage control and restoring their credibility.",2.0,1.0,"the ransomware, ransomware, ransom, compromised, encrypted",Ransomware & Cyber Extortion,Financially Motivated Operations
23,Austria,Austria,508,Anonymous attack austrian MPS,Hacker group Anonymous Salzburg hacks the websites of four Austrian members of parliament.,2013-08-27 00:00:00,2013-08-27 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Anonymous Salzburg,Non-state-group,Hacktivist(s),846_0,['Not available'],['State institutions / political system'],['Political parties'],"['EUROPE', 'EU', 'WESTEU']",Unknown,Not available,Unknown,Not available,National power,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,13.0,Hacker group Anonymous Salzburg hacks the websites of four members of parliament.,0.0,0.3041250589918282,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
24,Azerbaijan,Armenia,2,Azerbaijani hackers took down and defaced Armenian state TV and other webpages in January/February 2000,"After an ethnic Armenian in California launched Aliyev.com, a site that disseminated ""black propaganda"" about the former Azerbaijani President Heydar Aliyev, in January/February 2000, Azerbaijani hackers took down and defaced webpages of the Armenian state TV and webpages with information about the Turkish massacre against ethnic Armenians in World War I. ",2000-01-01 00:00:00,Not available,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Unknown,Non-state-group,Hacktivist(s),2_0,['Not available'],['State institutions / political system'],['Civil service / administration'],"['ASIA', 'CENTAS', 'CSTO']",Resources,Armenia - Azerbaijan,Yes / HIIK intensity,HIIK 1,Resources,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,euro,Not available,0,Not available,Not available,Not available,0,51.0,"After an ethnic in launched Aliyev.com, a site that disseminated ""black propaganda"" about the former Azerbaijani President Heydar Aliyev, in January/February 2000, hackers took down and defaced webpages of the state TV and webpages with information about the massacre against ethnic in World War I.",0.0,0.138265488344743,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
24,Azerbaijan,Armenia,504,Azerbaijan vs. Armenia August,An organization ran by Azerbaijani hackers known as ANTI-ARMENIA.ORG has hacked and defaced high profile Armenian government ministries websites.,2013-08-23 00:00:00,2013-08-23 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Anti-Armenia Team,Non-state-group,Hacktivist(s),842_0,['Not available'],['State institutions / political system'],['Government / ministries'],"['ASIA', 'CENTAS', 'CSTO']",Territory,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,19.0,An organization ran by hackers known as ANTI-ARMENIA.ORG has hacked and defaced high profile government ministries websites.,0.0,0.4998935965562432,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
24,Azerbaijan,Armenia,568,Anti-Armenia Team vs. Armenia,"The total number of targeted websites is 64, which includes high profile Armenian government ministries such as Ministry of Education, police, city districts, Artsakh State University, Youth For Achievements” Educational NGO, Football Federation of Armenia and several other Armenian website.",2014-01-01 00:00:00,Not available,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Anti-Armenia Team,Non-state-group,Hacktivist(s),911_3,"['Youth For Achievements ', 'Ministry of Education (Armenia)', 'Not available']","['Social groups', 'State institutions / political system']","['Government / ministries', 'Police', 'Advocacy / activists (e.g. human rights organizations)']","['ASIA', 'CENTAS', 'CSTO']",Territory,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,euro,Not available,0,Not available,Not available,Not available,0,40.0,"The total number of targeted websites is 64, which includes high profile government ministries such as Ministry of Education, police, city districts, Artsakh State University, Youth For Achievements” Educational NGO, Football Federation of Armenia and several other website.",0.0,0.4184638412264503,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
24,Azerbaijan,Armenia,627,Anti-Armenia Team vs. Armenian President,Azerbaijani hackers hack Armenian President and Ministry websites,2014-06-26 00:00:00,2014-06-26 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Anti-Armenia Team,Non-state-group,Hacktivist(s),1019_0,['Not available'],['State institutions / political system'],['Government / ministries'],"['ASIA', 'CENTAS', 'CSTO']",Territory,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,8.0,Azerbaijani hackers hack President and Ministry websites,0.0,0.2849216988125506,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
25,Azerbaijan,Not available,568,Anti-Armenia Team vs. Armenia,"The total number of targeted websites is 64, which includes high profile Armenian government ministries such as Ministry of Education, police, city districts, Artsakh State University, Youth For Achievements” Educational NGO, Football Federation of Armenia and several other Armenian website.",2014-01-01 00:00:00,Not available,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Anti-Armenia Team,Non-state-group,Hacktivist(s),4194_1,['Artsakh State University'],"['Critical infrastructure', 'State institutions / political system']","['Civil service / administration', 'Research']",['Not available'],Territory,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,euro,Not available,0,Not available,Not available,Not available,0,40.0,"The total number of targeted websites is 64, which includes high profile government ministries such as Ministry of Education, police, city districts, Artsakh State University, Youth For Achievements” Educational NGO, Football Federation of Armenia and several other website.",0.0,0.4184638412264503,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
